barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
daliao,,0.01553805324886568,362.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
daliaon plantation,,0.0016693776217789572,38.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
datu salumay,,0.0003424364352367092,7.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
dominga,,0.0008132865336871843,18.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
dumoy,,0.010230288502696687,238.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
eden,,0.0017121821761835459,39.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
fatima,,0.00047085009845047513,10.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
gatungan,,0.0006848728704734184,15.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
gov paciano bangoy,,0.004580087321290985,106.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
gov vicente duterte,,0.004622891875695574,107.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
gumalang,,0.002311445937847787,53.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
gumitan,,0.00038524098964129786,8.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
ilang,,0.009588220186627857,223.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
inayangan,,0.0013269411865422481,30.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
indangan,,0.01489598493279685,347.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
kap tomas monteverde sr,,0.004879719202123106,113.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
kilate,,0.0005136546528550637,11.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
lacson,,0.0029963188083212055,69.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
lamanan,,0.0014125502953514254,32.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
lampianao,,0.00047085009845047513,10.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
