run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,baseline_eligible,priority_eligible,baseline_weeks_used,nonzero_weeks_8w,rank_reason
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,45,gov paciano bangoy,2.0,0.34615384615384615,1.3846153846153846,2.5620868937581927,1.0744235360921452,True,True,True,26,3,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,46,gumalang,2.0,0.6153846153846154,2.4615384615384617,1.2930158155415177,0.3735379022675495,False,True,False,26,3,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,47,kap tomas monteverde sr,2.0,0.625,2.5,2.729700055032093,0.7799143014377409,True,True,True,8,5,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,48,leon garcia sr,2.0,0.2692307692307692,1.0769230769230769,3.6874895480258094,1.7754579305309455,True,True,True,26,2,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,49,mabuhay,2.0,0.23076923076923078,0.9230769230769231,0.23944737324842919,0.12451263408918317,False,False,False,26,2,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,50,matina biao,2.0,0.23076923076923078,0.9230769230769231,0.45495000917201545,0.23657400476944804,False,False,False,26,3,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,51,matina pangi,2.0,0.5,2.0,4.4537211424207825,1.4845737141402608,True,True,True,26,3,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,52,mintal,2.0,1.375,5.5,8.572215962293766,1.3188024557375024,True,True,True,8,4,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,53,riverside,2.0,0.23076923076923078,0.9230769230769231,1.7240210873886905,0.896490965442119,False,False,False,26,2,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,54,santo nino,2.0,0.875,3.5,4.741057990318898,1.0535684422930884,True,True,True,8,5,High recent observed burden (past W: 2.00)
