Barangay,TotalCases,NonZeroWeeks,Weeks,Tier,run_id
barangay 35 d,13.0,13,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 36 d,26.0,24,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 37 d,96.0,75,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 38 d,39.0,35,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 39 d,42.0,38,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 4 a,27.0,24,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 40 d,34.0,28,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 5 a,199.0,131,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 6 a,28.0,23,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 7 a,86.0,65,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 8 a,148.0,98,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
barangay 9 a,126.0,90,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bato,104.0,75,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bayabas,28.0,24,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
biao escuela,27.0,26,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
biao guianga,27.0,25,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
biao joaquin,10.0,10,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
binugao,149.0,100,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
bucana,1030.0,273,314,A,639d18b1-65e7-4d80-97c2-06c4952b2d83
buda,41.0,29,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
buhangin,1003.0,270,314,A,639d18b1-65e7-4d80-97c2-06c4952b2d83
bunawan,243.0,145,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
cabantian,692.0,242,314,A,639d18b1-65e7-4d80-97c2-06c4952b2d83
cadalian,29.0,27,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
calinan,316.0,173,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
callawa,43.0,34,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
camansi,8.0,8,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
carmen,26.0,21,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
catalunan grande,629.0,230,314,A,639d18b1-65e7-4d80-97c2-06c4952b2d83
catalunan pequeno,340.0,183,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
catigan,27.0,26,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
cawayan,21.0,21,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
centro,166.0,112,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
