Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
marapangi,0.7871492351134589,0.5628881367326971,1.7724631543861191,75.0,78.0,102.0,85.0
marilog,1.511393898495957,1.1740975748064757,1.0549087847680358,38.0,33.0,157.0,76.0
matina aplaya,1.8990531182640162,1.4875338488708405,0.8551329519107541,20.0,21.0,168.0,69.66666666666667
matina biao,0.5058520753797936,0.2927597444065315,1.91767394432627,116.0,128.0,62.0,102.0
matina crossing,2.7778970093732553,2.1319552232523145,0.6802130218751203,8.0,8.0,178.0,64.66666666666667
matina pangi,1.159930782828834,0.936928979107538,1.0276924585727671,49.0,46.0,159.0,84.66666666666667
megkawayan,0.268989062933356,0.10460231343092016,1.9910829209031584,166.0,178.0,6.0,116.66666666666667
mintal,1.8753331591182116,1.5378316650563892,0.8943113760875382,22.0,18.0,166.0,68.66666666666667
mudiang,0.5673473975248678,0.34191318825288175,1.895714651051464,108.0,114.0,75.0,99.0
mulig,0.9374319532476418,0.6816588420044347,1.7026736420170148,61.0,62.0,112.0,78.33333333333333
new carmen,0.4364474391618377,0.21231972855682033,1.9618160040130668,133.0,148.0,33.0,104.66666666666667
new valencia,0.356200682869066,0.14705684017862813,1.9832852755352355,151.0,167.0,20.0,112.66666666666667
pampanga,1.07972956195779,0.9367612514684259,1.3124764992106457,52.0,47.0,143.0,80.66666666666667
panacan,2.941703201032195,2.349720558842279,0.757611830225094,6.0,6.0,175.0,62.333333333333336
panalum,0.3507784635158419,0.21286419915160576,1.9575481258480063,152.0,147.0,40.0,113.0
pandaitan,0.3929177719938517,0.20385963587881256,1.9595431407235153,141.0,150.0,38.0,109.66666666666667
pangyan,0.726255831060935,0.38982325619682295,1.9090252734501143,83.0,100.0,71.0,84.66666666666667
paquibato,1.164631194864115,1.0316482817521468,1.5000352227367149,48.0,43.0,131.0,74.0
paradise embak,0.5718927000051487,0.5183128238239639,1.862049135849261,106.0,83.0,89.0,92.66666666666667
rafael castillo,0.9147394849134826,0.8133174746352991,1.4975691706872882,63.0,52.0,132.0,82.33333333333333
riverside,0.8116185835202533,0.6361694729411945,1.6643098809810946,70.0,67.0,119.0,85.33333333333333
salapawan,0.14878709802891127,0.05438479799302008,1.9965613586466469,182.0,182.0,2.0,122.0
salaysay,0.4957248605775078,0.3543599827525356,1.874194789553157,119.0,110.0,86.0,105.0
saloy,0.7160535638836442,0.18639637134082607,1.9903582405159932,84.0,156.0,7.0,82.33333333333333
san antonio,0.7501095712296799,0.6583355484712888,1.6806492741358472,81.0,63.0,114.0,86.0
san isidro,0.39685873182226433,0.293093880084967,1.9509692440858415,140.0,127.0,46.0,104.33333333333333
santo nino,1.8601413450995576,1.3818765133966713,1.0162442916446024,23.0,24.0,161.0,69.33333333333333
sasa,3.001722800174679,2.429575936787686,0.8250318434851852,5.0,4.0,171.0,60.0
sibulan,0.259552163282144,0.14346987859550478,1.9837021252254867,169.0,168.0,18.0,118.33333333333333
sirawan,1.3702085335136878,1.2045476070179704,1.3854146231379978,41.0,32.0,137.0,70.0
sirib,1.325345043478785,0.7470137731242077,1.83579123783034,42.0,56.0,95.0,64.33333333333333
suawan,0.49223698494616125,0.4256051197025609,1.883724329321154,120.0,98.0,82.0,100.0
subasta,0.8645693029310849,0.4511800828874827,1.8928855618220588,67.0,90.0,76.0,77.66666666666667
