Barangay_standardized,ds,local_forecast
alfonso angliongto sr.,2028-01-10,0.6350338070631297
alfonso angliongto sr.,2028-01-17,0.6350338070631297
bago aplaya,2023-01-02,1.1071954425967339
bago aplaya,2023-01-09,1.3793808842871085
bago aplaya,2023-01-16,1.484131979800476
bago aplaya,2023-01-23,1.3291511313993074
bago aplaya,2023-01-30,1.0295785490555127
bago aplaya,2023-02-06,0.8216152224459132
bago aplaya,2023-02-13,0.8418792889666757
bago aplaya,2023-02-20,1.0081747974657385
bago aplaya,2023-02-27,1.1226245482108306
bago aplaya,2023-03-06,1.072694220392774
bago aplaya,2023-03-13,0.9157879598769535
bago aplaya,2023-03-20,0.7847191913733818
bago aplaya,2023-03-27,0.7469539471886574
bago aplaya,2023-04-03,0.7679970878410083
bago aplaya,2023-04-10,0.7823464080894703
bago aplaya,2023-04-17,0.7629603460554555
bago aplaya,2023-04-24,0.7213166939810478
bago aplaya,2023-05-01,0.6753108925596204
bago aplaya,2023-05-08,0.6430524437656354
bago aplaya,2023-05-15,0.6523186421799648
bago aplaya,2023-05-22,0.7205728811726689
bago aplaya,2023-05-29,0.817203186170254
bago aplaya,2023-06-05,0.874779279686568
bago aplaya,2023-06-12,0.8660642617975388
bago aplaya,2023-06-19,0.8600957392617342
bago aplaya,2023-06-26,0.9660599835258641
bago aplaya,2023-07-03,1.2046331723376316
bago aplaya,2023-07-10,1.4564270127046892
bago aplaya,2023-07-17,1.5674358357563811
bago aplaya,2023-07-24,1.5042086372005594
bago aplaya,2023-07-31,1.3774698706429123
bago aplaya,2023-08-07,1.3020450867781848
bago aplaya,2023-08-14,1.262659410783575
bago aplaya,2023-08-21,1.1545404185241983
bago aplaya,2023-08-28,0.9505583385960152
bago aplaya,2023-09-04,0.7773692598662634
bago aplaya,2023-09-11,0.784054599044426
bago aplaya,2023-09-18,0.9487538810613018
bago aplaya,2023-09-25,1.0677532414756266
bago aplaya,2023-10-02,0.9675939459579882
bago aplaya,2023-10-09,0.7072258613395954
bago aplaya,2023-10-16,0.5291060648680029
bago aplaya,2023-10-23,0.6006883526326148
bago aplaya,2023-10-30,0.8326912532326746
bago aplaya,2023-11-06,0.9759928634695618
bago aplaya,2023-11-13,0.8827864861327098
bago aplaya,2023-11-20,0.6410398189744289
bago aplaya,2023-11-27,0.4533370776123744
bago aplaya,2023-12-04,0.4261198689969975
bago aplaya,2023-12-11,0.5118907094155734
bago aplaya,2023-12-18,0.6338940142573556
bago aplaya,2023-12-25,0.799965141127226
bago aplaya,2024-01-01,1.05237619825134
bago aplaya,2024-01-08,1.335320806995612
bago aplaya,2024-01-15,1.4816781494390923
bago aplaya,2024-01-22,1.3708192147292628
bago aplaya,2024-01-29,1.0805132469582486
bago aplaya,2024-02-05,0.8405366391988353
bago aplaya,2024-02-12,0.8199074371579914
bago aplaya,2024-02-19,0.9740120695442983
bago aplaya,2024-02-26,1.1106663996460708
bago aplaya,2024-03-04,1.0903755465285225
bago aplaya,2024-03-11,0.9429008852406202
bago aplaya,2024-03-18,0.7990824701244348
bago aplaya,2024-03-25,0.7448057533919431
bago aplaya,2024-04-01,0.7604959812573076
bago aplaya,2024-04-08,0.7795383767209927
bago aplaya,2024-04-15,0.7659996272496201
bago aplaya,2024-04-22,0.7268994979704753
bago aplaya,2024-04-29,0.6805234753517884
bago aplaya,2024-05-06,0.6440352723789254
bago aplaya,2024-05-13,0.6437544414936803
bago aplaya,2024-05-20,0.7020263877515703
bago aplaya,2024-05-27,0.7982332415970266
bago aplaya,2024-06-03,0.8671326091088304
bago aplaya,2024-06-10,0.8679728164754996
bago aplaya,2024-06-17,0.8530391246526396
bago aplaya,2024-06-24,0.9334101365680108
bago aplaya,2024-07-01,1.1535688275590694
bago aplaya,2024-07-08,1.4155855335439418
bago aplaya,2024-07-15,1.55910192287942
bago aplaya,2024-07-22,1.5218461805837602
bago aplaya,2024-07-29,1.3957260841811912
bago aplaya,2024-08-05,1.3078432370050999
bago aplaya,2024-08-12,1.2691074871044545
bago aplaya,2024-08-19,1.179617938220505
bago aplaya,2024-08-26,0.9872819154036234
bago aplaya,2024-09-02,0.7953974320691775
bago aplaya,2024-09-09,0.7649501120910956
bago aplaya,2024-09-16,0.913018284919796
bago aplaya,2024-09-23,1.0573421321318959
bago aplaya,2024-09-30,0.9998123036911856
bago aplaya,2024-10-07,0.7527405700536602
bago aplaya,2024-10-14,0.5418011722006235
bago aplaya,2024-10-21,0.5675186260758102
