barangay,weight,cases_in_window,window_start,window_end,alpha_smooth,run_id
paquibato,0.006879391100702576,46.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
paradise embak,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
rafael castillo,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
riverside,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
salapawan,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
salaysay,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
saloy,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
san antonio,0.0016100702576112413,10.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
san isidro,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
santo nino,0.008489461358313818,57.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
sasa,0.019613583138173303,133.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
sibulan,0.0008782201405152225,5.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
sirawan,0.003951990632318501,26.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
sirib,0.008050351288056206,54.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
suawan,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
subasta,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
sumimao,0.00234192037470726,15.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
tacunan,0.012002341920374707,81.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
tagakpan,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
tagluno,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
tagurano,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
