Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
marapangi,446,111,147.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
marilog,446,197,383.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
matina aplaya,446,299,713.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
matina biao,446,41,46.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
matina crossing,446,374,1270.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
matina pangi,446,200,321.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
megkawayan,446,17,18.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
mintal,446,288,627.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
mudiang,446,44,54.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
mulig,446,95,136.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
new carmen,446,28,33.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
new valencia,446,24,40.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
pampanga,446,207,343.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
panacan,446,345,945.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
panalum,446,16,18.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
pandaitan,446,18,21.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
pangyan,446,35,45.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
paquibato,446,88,121.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
