Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
callawa,0.4110707894002337,0.23379954012614965,1.9480198211249216,140.0,144.0,49.0,111.0
camansi,0.26475388046670195,0.13228622464113796,1.9787989197040272,163.0,170.0,23.0,118.66666666666667
carmen,0.6677028378340812,0.49076271150460354,1.7435805147478338,95.0,96.0,97.0,96.0
catalunan grande,2.71937835819018,2.3348818211247493,0.7531932846815168,11.0,8.0,177.0,65.33333333333333
catalunan pequeno,2.7314574962406946,2.4170827202871985,1.0419808895817015,10.0,7.0,157.0,58.0
catigan,0.6976411224794236,0.4985291374052228,1.7276454623746302,90.0,95.0,99.0,94.66666666666667
cawayan,0.6547673841089998,0.5945853756823631,1.7589850780335103,100.0,82.0,96.0,92.66666666666667
centro,0.7415005932524976,0.5993011945355904,1.604591552656996,84.0,81.0,118.0,94.33333333333333
colosas,0.49384632706129455,0.27022758139506403,1.9511246672360854,125.0,138.0,47.0,103.33333333333333
communal,1.1735164497078885,1.0028141183975015,1.2577215419285406,45.0,44.0,144.0,77.66666666666667
crossing bayabas,1.0362499918670867,0.7659050774284981,0.872396336506527,52.0,55.0,168.0,91.66666666666667
dacudao,1.8003755469357208,1.6469805426280726,1.378948818381002,21.0,18.0,137.0,58.666666666666664
dalag,0.19387626508733347,0.08006422256507319,1.9944036516081758,179.0,179.0,5.0,121.0
dalagdag,0.20543988494279855,0.14078250141582063,1.9840101110210138,175.0,168.0,17.0,120.0
daliao,1.4352288556997137,1.2466616025231199,0.9379347892778007,40.0,33.0,161.0,78.0
daliaon plantation,0.2279661529222569,0.18287029048735978,1.9801974391972288,170.0,159.0,20.0,116.33333333333333
datu salumay,0.2768807287779482,0.2075646615777937,1.9569235088986534,160.0,154.0,40.0,118.0
dominga,0.14385228079388404,0.0828850861085637,1.9942531269419168,181.0,178.0,6.0,121.66666666666667
dumoy,1.4657489279310083,1.249807161818236,1.2088977579744453,37.0,32.0,146.0,71.66666666666667
eden,0.2809779771058743,0.20985034722769522,1.9602324471192616,159.0,151.0,38.0,116.0
fatima,0.49746660092996353,0.23860945777464154,1.9669224544289534,124.0,143.0,32.0,99.66666666666667
gatungan,0.6651882821469093,0.4040252764646216,1.9131684954182737,97.0,111.0,59.0,89.0
gov paciano bangoy,0.6386536086419033,0.5370104285792866,1.6010540100570698,102.0,92.0,120.0,104.66666666666667
gov vicente duterte,0.4018958485003313,0.38763378796821935,1.8773288354200768,142.0,115.0,73.0,110.0
gumalang,1.4429815406481128,1.218715374280202,1.1459133365695118,39.0,35.0,149.0,74.33333333333333
gumitan,0.5778009757545624,0.21430701751702552,1.9832472384764617,112.0,149.0,18.0,93.0
ilang,1.531457672515444,1.252858624585446,1.0240222281576563,33.0,31.0,159.0,74.33333333333333
inayangan,0.7769412811237376,0.525473154930745,1.8571066775993357,80.0,93.0,78.0,83.66666666666667
indangan,1.7380588871371985,1.5208102270244004,1.1437581189603336,23.0,20.0,150.0,64.33333333333333
kap tomas monteverde sr,0.6701128308141383,0.44408854923624336,1.8140068183496132,94.0,102.0,87.0,94.33333333333333
kilate,0.4387229724360002,0.2762351174225529,1.9189453851242169,134.0,136.0,56.0,108.66666666666667
lacson,1.1038390059107057,0.8089378863701671,1.713469044421471,47.0,50.0,103.0,66.66666666666667
lamanan,0.6379428009936143,0.5728360657289989,1.6896691227756304,103.0,86.0,108.0,99.0
lampianao,0.33578281747576366,0.24138597871822773,1.9786807979707985,153.0,140.0,24.0,105.66666666666667
langub,0.6330045379481871,0.4724780277418255,1.806109635892405,104.0,98.0,90.0,97.33333333333333
lapu lapu,0.6617657881731328,0.6275832457520099,1.736031876559393,98.0,77.0,98.0,91.0
leon garcia sr,0.756820842353083,0.6633285489225388,1.5225027728309615,82.0,69.0,127.0,92.66666666666667
lizada,1.4436355107678889,1.2767899214409388,1.2697471479828693,38.0,30.0,142.0,70.0
los amigos,1.7959686468305307,1.2391737107592027,1.1128196897302132,22.0,34.0,151.0,69.0
lubogan,1.5098375977824596,1.1972187739374864,0.9109914223721568,34.0,38.0,164.0,78.66666666666667
lumiad,0.8431825334959132,0.5462703299732322,1.8162754807233081,71.0,91.0,86.0,82.66666666666667
ma a,3.8851799677053194,2.974623191812727,0.851993676621644,5.0,5.0,169.0,59.666666666666664
mabuhay,0.35936108898716057,0.2746817829642342,1.9039467850654777,145.0,137.0,64.0,115.33333333333333
magsaysay,0.5872394019364415,0.20832811052780892,1.9780580635889584,111.0,153.0,25.0,96.33333333333333
magtuod,0.6050813477681483,0.40230607815571323,1.879882234315699,105.0,113.0,71.0,96.33333333333333
mahayag,0.5232258420575523,0.46549438581354285,1.8398938041960935,121.0,99.0,83.0,101.0
malabog,1.3491031753829983,1.0103595154889853,1.407232964866296,41.0,42.0,134.0,72.33333333333333
malagos,1.590830459797691,1.0609387147171814,0.9705655516346006,31.0,40.0,160.0,77.0
malamba,0.3521301215589256,0.22394471524323317,1.9584545980017902,149.0,147.0,39.0,111.66666666666667
manambulan,0.3604097934186407,0.3016705096676292,1.90812821919918,144.0,133.0,60.0,112.33333333333333
