barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
lapu lapu,,0.004153686396677051,27.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
leon garcia sr,,0.004302032339415517,28.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
lizada,,0.010829253819908026,72.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
los amigos,,0.006527221480492508,43.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
lubogan,,0.012461059190031152,83.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
lumiad,,0.0013351134846461949,8.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
ma a,,0.023438658952677643,157.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
mabuhay,,0.0011867675419077288,7.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
magsaysay,,0.0005933837709538644,3.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
magtuod,,0.001631805370123127,10.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
mahayag,,0.0026702269692923898,17.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
malabog,,0.0026702269692923898,17.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
malagos,,0.00949414033526183,63.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
malamba,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
manambulan,,0.001483459427384661,9.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
mandug,,0.013202788903723483,88.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
manuel guianga,,0.0037086485684616525,24.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
mapula,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
marapangi,,0.005192107995846314,34.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
marilog,,0.014241210502892745,95.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
matina aplaya,,0.014686248331108143,98.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
matina biao,,0.0013351134846461949,8.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
matina crossing,,0.022696929238985315,152.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
