run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,rank_reason
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,70,dacudao,1.0,0.125,0.5,12.683514283221328,8.455676188814218,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,71,gatungan,1.0,0.125,0.5,1.4533193449524435,0.968879563301629,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,72,ilang,1.0,0.125,0.5,9.512635712415996,6.341757141610664,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,73,lamanan,1.0,0.375,1.5,3.302998511255554,1.3211994045022215,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,74,langub,1.0,0.125,0.5,1.8496791663031102,1.2331194442020734,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,75,lumiad,1.0,1.0,4.0,1.1890794640519995,0.2378158928103999,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,76,mandug,1.0,0.25,1.0,11.758674700069772,5.879337350034886,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,77,mulig,1.0,0.125,0.5,4.756317856207998,3.170878570805332,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,78,new valencia,1.0,0.125,0.5,0.792719642701333,0.5284797618008886,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,79,pampanga,1.0,0.125,0.5,5.152677677558665,3.4351184517057765,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,80,sirib,1.0,0.25,1.0,4.095718153956887,2.0478590769784435,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,81,tacunan,1.0,0.375,1.5,14.533193449524438,5.813277379809775,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,82,tamugan,1.0,0.25,1.0,4.095718153956887,2.0478590769784435,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,83,tawan tawan,1.0,0.5,2.0,3.170878570805332,1.0569595236017773,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,84,waan,1.0,0.125,0.5,1.4533193449524435,0.968879563301629,False,High recent observed burden (past W: 1.00)
